Budget_initial,Source_financement,Estimation_ROI,Taille_marche,Demande_actuelle,Nombre_concurrents,Avantage_concurrentiel,Impact_social,Impact_environnemental,Conformite_normes,Prevision_rentabilite,Capacite_fonds,Score_faisabilite
<50k,Investisseur,<1 an,Local,Faible,<5,Qualité,Aucun,Écologique,Non,1-3 ans,Facile,76
50k-100k,Investisseur,>3 ans,International,Modérée,<5,Aucun,Amélioration conditions de vie,Écologique,Oui,1-3 ans,Facile,42
>100k,Autre,>3 ans,Régional,Forte,<5,Qualité,Amélioration conditions de vie,Polluant,Oui,>3 ans,Facile,31
50k-100k,Autre,<1 an,Local,Forte,<5,Prix,Aucun,Neutre,Non,1-3 ans,Facile,81
<50k,Prêt bancaire,>3 ans,Local,Modérée,<5,Aucun,Aucun,Écologique,Oui,1-3 ans,Facile,72
<50k,Investisseur,>3 ans,Régional,Faible,Aucun,Prix,Aucun,Neutre,Oui,>3 ans,Facile,88
>100k,Investisseur,<1 an,Régional,Modérée,>5,Innovation,Amélioration conditions de vie,Polluant,Non,>3 ans,Facile,49
50k-100k,Fonds propres,<1 an,International,Modérée,>5,Aucun,Aucun,Neutre,Non,1-3 ans,Difficile,61
>100k,Investisseur,1-3 ans,Local,Modérée,>5,Prix,Aucun,Neutre,Oui,1-3 ans,Difficile,58
<50k,Investisseur,<1 an,International,Forte,<5,Innovation,Aucun,Neutre,Oui,>3 ans,Difficile,94
<50k,Autre,1-3 ans,International,Faible,<5,Prix,Autre,Neutre,Oui,1-3 ans,Difficile,73
50k-100k,Fonds propres,<1 an,Local,Modérée,<5,Prix,Amélioration conditions de vie,Neutre,Oui,<1 an,Difficile,66
>100k,Autre,1-3 ans,International,Faible,<5,Qualité,Création emplois,Neutre,Non,>3 ans,Difficile,38
>100k,Fonds propres,<1 an,Régional,Modérée,<5,Qualité,Création emplois,Neutre,Non,<1 an,Difficile,74
<50k,Autre,>3 ans,International,Forte,Aucun,Aucun,Création emplois,Neutre,Oui,1-3 ans,Facile,78
50k-100k,Autre,1-3 ans,Régional,Modérée,Aucun,Innovation,Autre,Écologique,Oui,1-3 ans,Facile,83
>100k,Investisseur,<1 an,Local,Faible,Aucun,Aucun,Création emplois,Écologique,Non,1-3 ans,Difficile,93
50k-100k,Autre,1-3 ans,National,Forte,<5,Aucun,Création emplois,Polluant,Oui,>3 ans,Difficile,83
50k-100k,Autre,<1 an,Régional,Faible,Aucun,Innovation,Autre,Écologique,Non,<1 an,Facile,61
>100k,Prêt bancaire,1-3 ans,Régional,Modérée,<5,Innovation,Création emplois,Polluant,Non,1-3 ans,Difficile,97
<50k,Fonds propres,1-3 ans,Régional,Forte,<5,Qualité,Autre,Polluant,Non,>3 ans,Difficile,54
<50k,Fonds propres,<1 an,Régional,Faible,>5,Innovation,Aucun,Écologique,Oui,>3 ans,Difficile,45
>100k,Fonds propres,>3 ans,Local,Faible,<5,Aucun,Aucun,Neutre,Oui,<1 an,Difficile,80
>100k,Investisseur,1-3 ans,National,Forte,Aucun,Innovation,Autre,Neutre,Oui,<1 an,Difficile,78
>100k,Autre,<1 an,International,Faible,>5,Qualité,Aucun,Neutre,Non,<1 an,Difficile,97
<50k,Fonds propres,<1 an,Local,Modérée,<5,Qualité,Amélioration conditions de vie,Polluant,Non,1-3 ans,Difficile,87
50k-100k,Fonds propres,<1 an,Régional,Faible,Aucun,Prix,Création emplois,Polluant,Oui,<1 an,Difficile,57
>100k,Autre,<1 an,Régional,Modérée,<5,Qualité,Création emplois,Écologique,Oui,<1 an,Difficile,49
50k-100k,Investisseur,1-3 ans,Local,Forte,<5,Innovation,Autre,Neutre,Oui,>3 ans,Difficile,36
<50k,Fonds propres,<1 an,Régional,Modérée,<5,Innovation,Création emplois,Polluant,Non,>3 ans,Difficile,61
>100k,Investisseur,>3 ans,Local,Modérée,<5,Prix,Amélioration conditions de vie,Polluant,Oui,<1 an,Difficile,46
<50k,Prêt bancaire,>3 ans,Local,Forte,<5,Aucun,Aucun,Polluant,Non,<1 an,Facile,78
<50k,Fonds propres,>3 ans,International,Modérée,>5,Innovation,Aucun,Polluant,Non,<1 an,Facile,75
<50k,Prêt bancaire,>3 ans,Régional,Faible,Aucun,Aucun,Aucun,Polluant,Non,<1 an,Difficile,86
>100k,Prêt bancaire,1-3 ans,International,Faible,<5,Aucun,Amélioration conditions de vie,Écologique,Non,<1 an,Difficile,39
>100k,Investisseur,<1 an,National,Faible,<5,Prix,Aucun,Neutre,Non,>3 ans,Difficile,51
>100k,Investisseur,<1 an,International,Faible,<5,Prix,Aucun,Neutre,Oui,<1 an,Difficile,100
<50k,Investisseur,1-3 ans,Régional,Forte,Aucun,Prix,Aucun,Polluant,Oui,1-3 ans,Facile,45
50k-100k,Fonds propres,1-3 ans,National,Forte,<5,Aucun,Aucun,Écologique,Oui,>3 ans,Difficile,53
<50k,Prêt bancaire,>3 ans,National,Faible,<5,Aucun,Amélioration conditions de vie,Polluant,Oui,>3 ans,Facile,71
<50k,Investisseur,>3 ans,National,Faible,Aucun,Aucun,Amélioration conditions de vie,Polluant,Oui,>3 ans,Difficile,89
>100k,Investisseur,<1 an,National,Faible,>5,Aucun,Amélioration conditions de vie,Polluant,Non,>3 ans,Facile,85
50k-100k,Fonds propres,>3 ans,International,Faible,<5,Qualité,Autre,Écologique,Non,1-3 ans,Difficile,63
50k-100k,Fonds propres,>3 ans,Régional,Modérée,<5,Prix,Création emplois,Polluant,Non,>3 ans,Difficile,93
<50k,Prêt bancaire,>3 ans,International,Faible,>5,Innovation,Aucun,Polluant,Non,<1 an,Facile,53
50k-100k,Prêt bancaire,1-3 ans,National,Modérée,>5,Prix,Aucun,Écologique,Oui,>3 ans,Facile,48
>100k,Prêt bancaire,1-3 ans,Régional,Faible,<5,Qualité,Création emplois,Écologique,Oui,<1 an,Facile,89
>100k,Autre,>3 ans,International,Modérée,>5,Innovation,Aucun,Neutre,Non,1-3 ans,Facile,62
>100k,Autre,>3 ans,Régional,Modérée,<5,Innovation,Aucun,Polluant,Oui,>3 ans,Facile,79
>100k,Investisseur,1-3 ans,International,Modérée,<5,Aucun,Autre,Neutre,Oui,<1 an,Difficile,46
<50k,Autre,1-3 ans,International,Modérée,>5,Innovation,Aucun,Écologique,Oui,<1 an,Facile,63
>100k,Autre,>3 ans,National,Modérée,Aucun,Aucun,Création emplois,Neutre,Oui,>3 ans,Facile,90
>100k,Fonds propres,>3 ans,International,Faible,>5,Innovation,Autre,Écologique,Non,>3 ans,Difficile,74
>100k,Investisseur,>3 ans,Régional,Forte,Aucun,Qualité,Amélioration conditions de vie,Neutre,Oui,>3 ans,Facile,82
50k-100k,Fonds propres,1-3 ans,National,Modérée,>5,Aucun,Autre,Neutre,Oui,1-3 ans,Difficile,50
<50k,Prêt bancaire,1-3 ans,Local,Forte,<5,Aucun,Autre,Neutre,Oui,<1 an,Facile,32
>100k,Fonds propres,<1 an,Régional,Faible,Aucun,Prix,Amélioration conditions de vie,Polluant,Oui,<1 an,Facile,49
<50k,Fonds propres,<1 an,National,Faible,<5,Qualité,Amélioration conditions de vie,Écologique,Oui,>3 ans,Difficile,43
50k-100k,Investisseur,1-3 ans,Régional,Modérée,<5,Aucun,Amélioration conditions de vie,Neutre,Non,>3 ans,Facile,90
>100k,Autre,>3 ans,Régional,Faible,>5,Aucun,Création emplois,Polluant,Non,<1 an,Facile,65
<50k,Fonds propres,1-3 ans,National,Modérée,<5,Innovation,Amélioration conditions de vie,Neutre,Non,<1 an,Facile,84
<50k,Investisseur,<1 an,National,Modérée,Aucun,Qualité,Autre,Écologique,Oui,>3 ans,Facile,96
50k-100k,Autre,1-3 ans,Régional,Forte,>5,Prix,Aucun,Neutre,Oui,<1 an,Facile,92
50k-100k,Investisseur,<1 an,Régional,Modérée,Aucun,Innovation,Création emplois,Écologique,Non,>3 ans,Facile,58
50k-100k,Fonds propres,<1 an,Local,Forte,>5,Innovation,Autre,Neutre,Oui,1-3 ans,Difficile,91
50k-100k,Fonds propres,>3 ans,National,Modérée,<5,Prix,Amélioration conditions de vie,Polluant,Non,1-3 ans,Facile,83
>100k,Prêt bancaire,>3 ans,National,Faible,>5,Aucun,Autre,Polluant,Oui,<1 an,Facile,87
<50k,Fonds propres,>3 ans,International,Modérée,>5,Aucun,Autre,Neutre,Non,1-3 ans,Difficile,56
<50k,Prêt bancaire,<1 an,Régional,Forte,>5,Qualité,Aucun,Neutre,Oui,1-3 ans,Difficile,63
>100k,Autre,>3 ans,International,Forte,<5,Prix,Création emplois,Polluant,Oui,<1 an,Facile,40
>100k,Fonds propres,>3 ans,Local,Modérée,>5,Prix,Aucun,Neutre,Non,1-3 ans,Facile,88
50k-100k,Autre,1-3 ans,International,Forte,Aucun,Qualité,Amélioration conditions de vie,Écologique,Oui,>3 ans,Difficile,68
<50k,Investisseur,1-3 ans,Régional,Forte,>5,Prix,Aucun,Écologique,Oui,>3 ans,Difficile,57
50k-100k,Investisseur,1-3 ans,National,Forte,>5,Innovation,Autre,Neutre,Oui,>3 ans,Difficile,80
<50k,Investisseur,>3 ans,National,Faible,<5,Aucun,Aucun,Polluant,Oui,1-3 ans,Facile,87
>100k,Autre,>3 ans,National,Faible,>5,Prix,Aucun,Écologique,Non,1-3 ans,Facile,88
50k-100k,Investisseur,>3 ans,Local,Forte,Aucun,Qualité,Autre,Polluant,Non,<1 an,Difficile,76
<50k,Fonds propres,<1 an,Local,Modérée,<5,Prix,Aucun,Polluant,Oui,<1 an,Difficile,62
>100k,Investisseur,>3 ans,Local,Modérée,>5,Innovation,Aucun,Écologique,Non,1-3 ans,Facile,92
<50k,Fonds propres,>3 ans,International,Modérée,Aucun,Innovation,Création emplois,Écologique,Non,<1 an,Facile,37
>100k,Prêt bancaire,<1 an,Local,Modérée,>5,Qualité,Aucun,Neutre,Non,<1 an,Difficile,46
>100k,Investisseur,<1 an,International,Forte,Aucun,Aucun,Amélioration conditions de vie,Écologique,Non,>3 ans,Difficile,47
50k-100k,Investisseur,<1 an,Local,Modérée,>5,Qualité,Aucun,Polluant,Non,<1 an,Facile,31
<50k,Fonds propres,<1 an,Régional,Modérée,>5,Aucun,Aucun,Écologique,Non,<1 an,Facile,95
>100k,Investisseur,<1 an,Régional,Faible,<5,Aucun,Création emplois,Neutre,Non,<1 an,Facile,63
<50k,Prêt bancaire,<1 an,National,Forte,>5,Aucun,Amélioration conditions de vie,Neutre,Oui,1-3 ans,Difficile,78
>100k,Fonds propres,>3 ans,Régional,Modérée,>5,Innovation,Création emplois,Neutre,Oui,>3 ans,Difficile,36
<50k,Prêt bancaire,<1 an,National,Faible,<5,Qualité,Création emplois,Polluant,Oui,<1 an,Difficile,93
50k-100k,Autre,<1 an,National,Forte,Aucun,Qualité,Aucun,Polluant,Non,>3 ans,Facile,75
50k-100k,Investisseur,1-3 ans,Régional,Faible,>5,Qualité,Amélioration conditions de vie,Écologique,Oui,1-3 ans,Difficile,99
>100k,Fonds propres,<1 an,Local,Modérée,>5,Qualité,Autre,Écologique,Oui,<1 an,Difficile,45
<50k,Fonds propres,>3 ans,National,Faible,Aucun,Qualité,Aucun,Neutre,Oui,>3 ans,Facile,66
>100k,Autre,<1 an,Local,Forte,Aucun,Prix,Amélioration conditions de vie,Neutre,Oui,>3 ans,Difficile,77
<50k,Autre,1-3 ans,Local,Faible,>5,Qualité,Aucun,Polluant,Non,1-3 ans,Facile,49
>100k,Investisseur,<1 an,National,Faible,<5,Prix,Autre,Écologique,Oui,<1 an,Facile,71
<50k,Autre,<1 an,Local,Faible,<5,Innovation,Création emplois,Polluant,Oui,<1 an,Difficile,76
50k-100k,Investisseur,>3 ans,Local,Forte,>5,Aucun,Aucun,Polluant,Non,1-3 ans,Difficile,80
>100k,Investisseur,>3 ans,National,Forte,>5,Qualité,Aucun,Écologique,Oui,1-3 ans,Difficile,96
50k-100k,Fonds propres,<1 an,International,Faible,Aucun,Qualité,Autre,Neutre,Non,1-3 ans,Difficile,51
>100k,Investisseur,>3 ans,Local,Forte,<5,Innovation,Autre,Neutre,Non,<1 an,Difficile,60
50k-100k,Fonds propres,1-3 ans,Local,Forte,Aucun,Qualité,Autre,Polluant,Oui,<1 an,Facile,73
<50k,Investisseur,<1 an,Régional,Forte,<5,Prix,Autre,Polluant,Oui,>3 ans,Difficile,67
50k-100k,Autre,>3 ans,Régional,Forte,<5,Qualité,Création emplois,Polluant,Oui,<1 an,Facile,97
>100k,Fonds propres,1-3 ans,Local,Faible,<5,Innovation,Amélioration conditions de vie,Neutre,Oui,<1 an,Difficile,56
<50k,Prêt bancaire,<1 an,National,Forte,<5,Aucun,Aucun,Écologique,Non,1-3 ans,Difficile,64
<50k,Fonds propres,<1 an,International,Faible,<5,Prix,Amélioration conditions de vie,Polluant,Oui,>3 ans,Facile,41
<50k,Fonds propres,1-3 ans,Régional,Faible,Aucun,Qualité,Autre,Neutre,Non,<1 an,Facile,98
<50k,Prêt bancaire,>3 ans,Régional,Modérée,Aucun,Innovation,Création emplois,Écologique,Oui,<1 an,Difficile,31
<50k,Prêt bancaire,1-3 ans,Régional,Modérée,Aucun,Prix,Amélioration conditions de vie,Écologique,Oui,1-3 ans,Facile,73
<50k,Prêt bancaire,<1 an,International,Forte,<5,Qualité,Amélioration conditions de vie,Polluant,Non,>3 ans,Difficile,43
50k-100k,Investisseur,1-3 ans,International,Faible,<5,Prix,Amélioration conditions de vie,Neutre,Non,1-3 ans,Facile,30
<50k,Fonds propres,1-3 ans,International,Forte,>5,Prix,Amélioration conditions de vie,Écologique,Oui,>3 ans,Difficile,56
50k-100k,Autre,<1 an,International,Modérée,>5,Prix,Amélioration conditions de vie,Neutre,Oui,>3 ans,Facile,50
50k-100k,Investisseur,>3 ans,National,Faible,Aucun,Aucun,Aucun,Écologique,Oui,>3 ans,Facile,54
50k-100k,Fonds propres,<1 an,Local,Forte,Aucun,Aucun,Aucun,Neutre,Non,>3 ans,Facile,100
>100k,Investisseur,>3 ans,Régional,Forte,<5,Qualité,Aucun,Écologique,Non,>3 ans,Facile,94
<50k,Autre,<1 an,International,Modérée,<5,Prix,Création emplois,Polluant,Non,>3 ans,Difficile,71
<50k,Investisseur,>3 ans,National,Forte,>5,Prix,Amélioration conditions de vie,Écologique,Non,1-3 ans,Difficile,32
>100k,Investisseur,1-3 ans,National,Faible,>5,Qualité,Autre,Neutre,Non,<1 an,Difficile,57
50k-100k,Prêt bancaire,1-3 ans,International,Faible,<5,Aucun,Autre,Polluant,Non,<1 an,Facile,99
50k-100k,Fonds propres,1-3 ans,Régional,Forte,>5,Innovation,Autre,Écologique,Oui,1-3 ans,Difficile,77
<50k,Investisseur,<1 an,International,Modérée,>5,Qualité,Création emplois,Polluant,Non,>3 ans,Facile,42
<50k,Prêt bancaire,<1 an,National,Modérée,>5,Innovation,Amélioration conditions de vie,Écologique,Oui,<1 an,Facile,42
<50k,Fonds propres,>3 ans,Local,Forte,<5,Innovation,Amélioration conditions de vie,Écologique,Oui,1-3 ans,Facile,95
<50k,Autre,1-3 ans,International,Forte,>5,Qualité,Création emplois,Écologique,Oui,>3 ans,Difficile,79
>100k,Fonds propres,>3 ans,Régional,Faible,Aucun,Innovation,Aucun,Polluant,Oui,>3 ans,Facile,89
<50k,Investisseur,<1 an,National,Forte,>5,Aucun,Amélioration conditions de vie,Écologique,Non,1-3 ans,Facile,65
50k-100k,Fonds propres,>3 ans,International,Modérée,<5,Aucun,Amélioration conditions de vie,Polluant,Non,<1 an,Facile,56
50k-100k,Investisseur,<1 an,Régional,Modérée,<5,Innovation,Autre,Écologique,Non,1-3 ans,Difficile,61
<50k,Fonds propres,<1 an,International,Forte,>5,Prix,Amélioration conditions de vie,Écologique,Non,1-3 ans,Facile,79
50k-100k,Investisseur,>3 ans,Local,Forte,Aucun,Innovation,Création emplois,Polluant,Non,<1 an,Difficile,72
50k-100k,Investisseur,1-3 ans,Local,Faible,>5,Aucun,Aucun,Écologique,Oui,<1 an,Difficile,61
50k-100k,Investisseur,>3 ans,National,Modérée,>5,Aucun,Amélioration conditions de vie,Polluant,Oui,>3 ans,Difficile,77
<50k,Prêt bancaire,<1 an,National,Forte,Aucun,Innovation,Autre,Neutre,Non,>3 ans,Difficile,97
<50k,Investisseur,>3 ans,Local,Faible,<5,Qualité,Aucun,Polluant,Oui,>3 ans,Facile,71
>100k,Fonds propres,>3 ans,National,Forte,>5,Innovation,Aucun,Écologique,Non,1-3 ans,Difficile,100
>100k,Autre,1-3 ans,International,Modérée,>5,Aucun,Amélioration conditions de vie,Écologique,Oui,>3 ans,Facile,75
50k-100k,Prêt bancaire,1-3 ans,Local,Faible,>5,Innovation,Aucun,Écologique,Oui,<1 an,Facile,56
>100k,Fonds propres,<1 an,Local,Modérée,<5,Prix,Amélioration conditions de vie,Polluant,Oui,<1 an,Facile,52
50k-100k,Fonds propres,>3 ans,Local,Faible,>5,Qualité,Amélioration conditions de vie,Neutre,Non,<1 an,Difficile,84
50k-100k,Investisseur,>3 ans,Local,Modérée,Aucun,Aucun,Amélioration conditions de vie,Polluant,Oui,>3 ans,Difficile,30
50k-100k,Prêt bancaire,1-3 ans,Régional,Forte,>5,Aucun,Création emplois,Neutre,Non,<1 an,Facile,41
>100k,Investisseur,1-3 ans,Local,Forte,<5,Aucun,Aucun,Polluant,Non,1-3 ans,Difficile,38
50k-100k,Investisseur,1-3 ans,International,Faible,Aucun,Qualité,Autre,Écologique,Oui,<1 an,Difficile,59
>100k,Prêt bancaire,1-3 ans,Local,Forte,Aucun,Aucun,Autre,Écologique,Non,>3 ans,Facile,40
>100k,Fonds propres,<1 an,Local,Faible,Aucun,Prix,Création emplois,Neutre,Oui,<1 an,Difficile,66
50k-100k,Investisseur,>3 ans,International,Forte,<5,Innovation,Aucun,Écologique,Oui,>3 ans,Difficile,67
>100k,Investisseur,<1 an,Régional,Faible,Aucun,Prix,Amélioration conditions de vie,Neutre,Oui,>3 ans,Difficile,81
<50k,Investisseur,<1 an,National,Modérée,<5,Innovation,Aucun,Neutre,Non,<1 an,Difficile,44
>100k,Investisseur,<1 an,Local,Modérée,>5,Prix,Autre,Polluant,Non,<1 an,Facile,54
50k-100k,Fonds propres,<1 an,National,Modérée,Aucun,Aucun,Création emplois,Polluant,Oui,<1 an,Facile,83
>100k,Fonds propres,1-3 ans,Local,Faible,<5,Qualité,Création emplois,Écologique,Oui,1-3 ans,Difficile,92
50k-100k,Autre,<1 an,Régional,Faible,<5,Prix,Aucun,Écologique,Non,>3 ans,Difficile,33
>100k,Prêt bancaire,<1 an,National,Faible,Aucun,Qualité,Aucun,Neutre,Oui,1-3 ans,Facile,73
50k-100k,Prêt bancaire,>3 ans,National,Modérée,>5,Qualité,Autre,Polluant,Non,1-3 ans,Facile,91
>100k,Prêt bancaire,<1 an,National,Faible,>5,Innovation,Aucun,Écologique,Non,<1 an,Facile,75
50k-100k,Investisseur,>3 ans,Local,Modérée,>5,Innovation,Autre,Écologique,Non,>3 ans,Difficile,68
50k-100k,Fonds propres,>3 ans,Régional,Modérée,<5,Prix,Aucun,Neutre,Non,1-3 ans,Facile,63
>100k,Autre,1-3 ans,National,Modérée,<5,Innovation,Aucun,Écologique,Non,<1 an,Facile,81
>100k,Fonds propres,<1 an,Local,Modérée,Aucun,Innovation,Autre,Écologique,Non,<1 an,Difficile,51
<50k,Autre,1-3 ans,International,Modérée,>5,Prix,Autre,Neutre,Non,>3 ans,Difficile,65
<50k,Investisseur,1-3 ans,Local,Faible,<5,Prix,Aucun,Polluant,Non,1-3 ans,Difficile,39
50k-100k,Fonds propres,<1 an,National,Faible,>5,Innovation,Aucun,Neutre,Oui,>3 ans,Facile,45
<50k,Autre,>3 ans,Local,Forte,<5,Aucun,Aucun,Neutre,Oui,1-3 ans,Difficile,35
<50k,Investisseur,>3 ans,Régional,Forte,<5,Qualité,Autre,Neutre,Non,<1 an,Facile,52
50k-100k,Prêt bancaire,>3 ans,National,Modérée,>5,Qualité,Amélioration conditions de vie,Écologique,Oui,>3 ans,Facile,42
<50k,Fonds propres,<1 an,National,Forte,<5,Innovation,Création emplois,Polluant,Oui,1-3 ans,Difficile,44
>100k,Autre,<1 an,International,Forte,Aucun,Prix,Amélioration conditions de vie,Écologique,Oui,<1 an,Difficile,87
<50k,Fonds propres,>3 ans,Régional,Forte,>5,Prix,Amélioration conditions de vie,Polluant,Oui,<1 an,Difficile,80
50k-100k,Prêt bancaire,<1 an,National,Modérée,>5,Aucun,Création emplois,Écologique,Oui,>3 ans,Difficile,30
>100k,Autre,>3 ans,International,Modérée,>5,Innovation,Autre,Polluant,Oui,1-3 ans,Difficile,34
50k-100k,Autre,<1 an,Régional,Faible,<5,Qualité,Amélioration conditions de vie,Neutre,Oui,>3 ans,Difficile,98
<50k,Investisseur,>3 ans,National,Modérée,<5,Innovation,Amélioration conditions de vie,Polluant,Oui,1-3 ans,Facile,39
50k-100k,Investisseur,<1 an,International,Faible,>5,Prix,Aucun,Écologique,Non,<1 an,Difficile,83
>100k,Prêt bancaire,<1 an,Régional,Forte,>5,Aucun,Amélioration conditions de vie,Écologique,Non,<1 an,Difficile,64
<50k,Prêt bancaire,>3 ans,Régional,Forte,<5,Aucun,Autre,Neutre,Non,1-3 ans,Difficile,49
>100k,Investisseur,1-3 ans,Local,Forte,Aucun,Aucun,Aucun,Neutre,Oui,<1 an,Facile,83
>100k,Fonds propres,1-3 ans,Régional,Forte,Aucun,Qualité,Amélioration conditions de vie,Polluant,Non,<1 an,Difficile,80
<50k,Fonds propres,1-3 ans,Local,Modérée,Aucun,Qualité,Aucun,Écologique,Oui,>3 ans,Difficile,49
>100k,Prêt bancaire,<1 an,National,Faible,<5,Prix,Autre,Neutre,Non,1-3 ans,Facile,89
<50k,Investisseur,>3 ans,Local,Modérée,<5,Prix,Création emplois,Polluant,Oui,1-3 ans,Facile,60
>100k,Autre,>3 ans,National,Faible,Aucun,Prix,Autre,Polluant,Oui,<1 an,Difficile,60
>100k,Fonds propres,>3 ans,International,Modérée,<5,Prix,Amélioration conditions de vie,Polluant,Oui,1-3 ans,Difficile,96
>100k,Investisseur,<1 an,Local,Modérée,<5,Qualité,Amélioration conditions de vie,Écologique,Non,>3 ans,Difficile,50
>100k,Prêt bancaire,<1 an,Régional,Faible,Aucun,Qualité,Autre,Écologique,Non,>3 ans,Difficile,45
<50k,Autre,>3 ans,Régional,Forte,<5,Qualité,Aucun,Écologique,Oui,>3 ans,Difficile,46
50k-100k,Fonds propres,>3 ans,Local,Forte,Aucun,Innovation,Création emplois,Polluant,Non,1-3 ans,Facile,96
>100k,Autre,>3 ans,Local,Modérée,<5,Innovation,Aucun,Neutre,Non,1-3 ans,Facile,54
>100k,Prêt bancaire,<1 an,International,Forte,Aucun,Aucun,Aucun,Neutre,Non,>3 ans,Facile,50
>100k,Fonds propres,>3 ans,Local,Modérée,>5,Innovation,Autre,Neutre,Oui,1-3 ans,Difficile,34
>100k,Autre,1-3 ans,Régional,Forte,Aucun,Aucun,Aucun,Écologique,Non,<1 an,Difficile,61
<50k,Autre,>3 ans,Régional,Faible,<5,Qualité,Aucun,Polluant,Non,1-3 ans,Difficile,89
>100k,Investisseur,1-3 ans,National,Forte,<5,Qualité,Création emplois,Neutre,Oui,<1 an,Difficile,56
<50k,Prêt bancaire,1-3 ans,International,Modérée,Aucun,Aucun,Création emplois,Polluant,Oui,1-3 ans,Difficile,55
<50k,Fonds propres,>3 ans,Local,Forte,<5,Innovation,Aucun,Polluant,Oui,<1 an,Facile,78
50k-100k,Autre,1-3 ans,International,Forte,>5,Aucun,Aucun,Neutre,Non,1-3 ans,Difficile,86
50k-100k,Investisseur,1-3 ans,Régional,Faible,<5,Prix,Autre,Polluant,Oui,1-3 ans,Facile,69
50k-100k,Autre,>3 ans,Local,Faible,Aucun,Aucun,Création emplois,Écologique,Non,>3 ans,Facile,93
50k-100k,Investisseur,<1 an,National,Modérée,>5,Innovation,Autre,Polluant,Non,>3 ans,Difficile,42
>100k,Fonds propres,<1 an,National,Modérée,<5,Innovation,Amélioration conditions de vie,Neutre,Oui,<1 an,Facile,69
50k-100k,Investisseur,1-3 ans,National,Forte,>5,Qualité,Amélioration conditions de vie,Polluant,Oui,>3 ans,Facile,66
>100k,Investisseur,>3 ans,Local,Faible,Aucun,Prix,Aucun,Écologique,Non,>3 ans,Facile,95
<50k,Autre,<1 an,Régional,Forte,Aucun,Aucun,Aucun,Neutre,Non,>3 ans,Facile,49
<50k,Fonds propres,>3 ans,Régional,Faible,<5,Innovation,Autre,Neutre,Oui,<1 an,Difficile,100
<50k,Fonds propres,>3 ans,Régional,Faible,Aucun,Innovation,Autre,Neutre,Non,<1 an,Difficile,70
<50k,Prêt bancaire,1-3 ans,Régional,Modérée,<5,Prix,Création emplois,Neutre,Non,<1 an,Facile,49
<50k,Autre,<1 an,Régional,Modérée,Aucun,Innovation,Amélioration conditions de vie,Écologique,Oui,<1 an,Facile,47
50k-100k,Fonds propres,>3 ans,National,Forte,Aucun,Qualité,Amélioration conditions de vie,Polluant,Oui,1-3 ans,Difficile,94
>100k,Fonds propres,1-3 ans,Local,Forte,<5,Prix,Création emplois,Écologique,Non,>3 ans,Facile,31
<50k,Autre,<1 an,Régional,Faible,Aucun,Innovation,Aucun,Polluant,Oui,>3 ans,Difficile,89
>100k,Autre,>3 ans,Régional,Faible,>5,Prix,Création emplois,Neutre,Oui,>3 ans,Facile,40
>100k,Investisseur,<1 an,International,Forte,Aucun,Innovation,Création emplois,Polluant,Oui,<1 an,Facile,83
<50k,Prêt bancaire,>3 ans,Local,Faible,Aucun,Innovation,Amélioration conditions de vie,Écologique,Oui,1-3 ans,Facile,78
<50k,Fonds propres,<1 an,National,Faible,Aucun,Aucun,Création emplois,Écologique,Oui,<1 an,Difficile,96
>100k,Prêt bancaire,1-3 ans,Régional,Forte,>5,Aucun,Autre,Écologique,Oui,1-3 ans,Facile,38
>100k,Prêt bancaire,1-3 ans,International,Modérée,<5,Aucun,Autre,Écologique,Oui,1-3 ans,Facile,83
<50k,Autre,1-3 ans,Régional,Faible,<5,Aucun,Aucun,Écologique,Non,>3 ans,Difficile,71
<50k,Investisseur,<1 an,International,Forte,Aucun,Innovation,Amélioration conditions de vie,Neutre,Oui,1-3 ans,Facile,77
<50k,Prêt bancaire,1-3 ans,National,Forte,Aucun,Qualité,Amélioration conditions de vie,Neutre,Non,<1 an,Difficile,91
>100k,Fonds propres,1-3 ans,Local,Modérée,<5,Qualité,Aucun,Polluant,Oui,>3 ans,Facile,49
>100k,Prêt bancaire,<1 an,International,Forte,>5,Qualité,Aucun,Polluant,Oui,>3 ans,Difficile,74
<50k,Investisseur,1-3 ans,National,Forte,>5,Aucun,Autre,Neutre,Non,1-3 ans,Facile,63
<50k,Autre,<1 an,Régional,Faible,Aucun,Aucun,Aucun,Polluant,Oui,>3 ans,Difficile,91
50k-100k,Prêt bancaire,1-3 ans,National,Faible,<5,Prix,Aucun,Polluant,Non,<1 an,Facile,77
>100k,Autre,1-3 ans,International,Faible,>5,Prix,Aucun,Polluant,Non,>3 ans,Facile,85
<50k,Fonds propres,>3 ans,Régional,Faible,Aucun,Prix,Amélioration conditions de vie,Polluant,Non,>3 ans,Difficile,97
50k-100k,Prêt bancaire,<1 an,International,Forte,Aucun,Aucun,Autre,Écologique,Non,>3 ans,Facile,55
50k-100k,Prêt bancaire,>3 ans,National,Faible,<5,Qualité,Amélioration conditions de vie,Écologique,Oui,1-3 ans,Facile,58
>100k,Fonds propres,1-3 ans,Régional,Faible,Aucun,Aucun,Création emplois,Polluant,Non,>3 ans,Difficile,45
>100k,Autre,1-3 ans,International,Modérée,<5,Prix,Amélioration conditions de vie,Neutre,Non,1-3 ans,Difficile,62
